trainable parameters:1930
Epoch 72. Train Loss: 0.271715, Train Acc: 0.907993, Valid Loss: 0.297953, Valid Acc: 0.899822, 
Epoch 73. Train Loss: 0.272229, Train Acc: 0.907352, Valid Loss: 0.296058, Valid Acc: 0.901602, 
Epoch 74. Train Loss: 0.271177, Train Acc: 0.906931, Valid Loss: 0.296643, Valid Acc: 0.900910, 
Epoch 75. Train Loss: 0.271414, Train Acc: 0.907632, Valid Loss: 0.296450, Valid Acc: 0.900415, 
Epoch 76. Train Loss: 0.271647, Train Acc: 0.907672, Valid Loss: 0.296170, Valid Acc: 0.901305, 
Epoch 77. Train Loss: 0.271408, Train Acc: 0.907212, Valid Loss: 0.295998, Valid Acc: 0.902393, 
Epoch 78. Train Loss: 0.271435, Train Acc: 0.907652, Valid Loss: 0.296919, Valid Acc: 0.900415, 
Epoch 79. Train Loss: 0.271190, Train Acc: 0.907552, Valid Loss: 0.296305, Valid Acc: 0.902393, 
Epoch 80. Train Loss: 0.271149, Train Acc: 0.908033, Valid Loss: 0.295819, Valid Acc: 0.901800, 
Epoch 81. Train Loss: 0.270860, Train Acc: 0.907833, Valid Loss: 0.296222, Valid Acc: 0.902097, 
Epoch 82. Train Loss: 0.270496, Train Acc: 0.907672, Valid Loss: 0.296725, Valid Acc: 0.901602, 
Epoch 83. Train Loss: 0.269879, Train Acc: 0.907813, Valid Loss: 0.295993, Valid Acc: 0.901404, 
Epoch 84. Train Loss: 0.270676, Train Acc: 0.907632, Valid Loss: 0.297033, Valid Acc: 0.900712, 
Epoch 85. Train Loss: 0.270737, Train Acc: 0.907813, Valid Loss: 0.295764, Valid Acc: 0.901404, 
Epoch 86. Train Loss: 0.269441, Train Acc: 0.908714, Valid Loss: 0.297119, Valid Acc: 0.901108, 
Epoch 87. Train Loss: 0.269461, Train Acc: 0.907973, Valid Loss: 0.295771, Valid Acc: 0.902097, 
Epoch 88. Train Loss: 0.270334, Train Acc: 0.907552, Valid Loss: 0.296397, Valid Acc: 0.902690, 
Epoch 89. Train Loss: 0.269705, Train Acc: 0.907392, Valid Loss: 0.296077, Valid Acc: 0.901899, 
Epoch 90. Train Loss: 0.269467, Train Acc: 0.908654, Valid Loss: 0.295876, Valid Acc: 0.901602, 
Epoch 91. Train Loss: 0.270672, Train Acc: 0.907973, Valid Loss: 0.296601, Valid Acc: 0.901998, 
Epoch 92. Train Loss: 0.269004, Train Acc: 0.908153, Valid Loss: 0.296978, Valid Acc: 0.901602, 
Epoch 93. Train Loss: 0.268594, Train Acc: 0.909014, Valid Loss: 0.296489, Valid Acc: 0.901009, 
Epoch 94. Train Loss: 0.270000, Train Acc: 0.908253, Valid Loss: 0.295854, Valid Acc: 0.901503, 
Epoch 95. Train Loss: 0.269458, Train Acc: 0.908313, Valid Loss: 0.296184, Valid Acc: 0.902097, 
Epoch 96. Train Loss: 0.269508, Train Acc: 0.908534, Valid Loss: 0.296681, Valid Acc: 0.900218, 
Epoch 97. Train Loss: 0.268435, Train Acc: 0.908393, Valid Loss: 0.295980, Valid Acc: 0.902294, 
Epoch 98. Train Loss: 0.270472, Train Acc: 0.907332, Valid Loss: 0.295498, Valid Acc: 0.901305, 
Epoch 99. Train Loss: 0.268887, Train Acc: 0.908834, Valid Loss: 0.296004, Valid Acc: 0.902097,
